,word,pn
478,うら悲しい,-1
479,えげつない,-1
480,おこがましい,-1
481,おしい,-1
482,おせっかい,-1
486,おそい,-1
487,おそまつ,-1
489,おぞましい,-1
490,おためごかし,-1
492,おたんこなす,-1
496,おっかない,-1
497,おっくう,-1
501,おっさん,-1
502,おっちょこちょい,-1
504,おばさん,-1
505,おびやかす,-1
506,おもはゆい,-1
507,おんぼろ,-1
515,お節介,-1
519,お粗末,-1
523,かっこ,-1
524,かったるい,-1
525,かみ合う,-1
527,かん高い,-1
528,がさつ,-1
530,がっかり,-1
531,がつがつ,-1
532,がめつい,-1
533,ききにくい,-1
534,きちきち,-1
535,きつい,-1
536,きびしい,-1
537,きゅうきゅう,-1
538,ぎくしゃく,-1
539,ぎこちない,-1
540,ぎごち,-1
541,ぎすぎす,-1
542,ぎちぎち,-1
543,ぎゅうぎゅう,-1
544,ぎょうぎょうしい,-1
545,ぎょっと,-1
546,くしゃくしゃ,-1
547,くそ,-1
549,くだらない,-1
550,くどい,-1
551,ぐしゃぐしゃ,-1
552,ぐしょぐしょ,-1
554,ぐじゃぐじゃ,-1
556,ぐずぐず,-1
557,ぐずる,-1
558,ぐにゃぐにゃ,-1
561,ぐらぐら,-1
562,ぐらつく,-1
563,けがらわしい,-1
564,けしからん,-1
568,けちけち,-1
570,けちん坊,-1
574,けばけば,-1
575,けばけばしい,-1
576,けわしい,-1
577,けんのん,-1
579,げっそり,-1
580,こしゃく,-1
582,こすい,-1
583,こせこせ,-1
584,こっぴどい,-1
585,こっ酷い,-1
586,こてんこてん,-1
588,ごしゃごしゃ,-1
589,ごちゃごちゃ,-1
590,ごっちゃ,-1
592,ごてごて,-1
593,ごみごみ,-1
594,ご法度,-1
598,さもしい,-1
599,しかた,-1
600,しかつめらしい,-1
601,しつこい,-1
602,しどろ,-1
604,しどろもどろ,-1
606,しみったれる,-1
607,しょうが,-1
608,しょぼい,-1
609,しょぼしょぼ,-1
610,しらじらしい,-1
611,しわくちゃ,-1
615,しわしわ,-1
616,しんどい,-1
617,しんねり,-1
618,じじむさい,-1
619,じゃじゃ馬,-1
625,じゃま,-1
626,じれったい,-1
627,すかたん,-1
631,すげない,-1
632,すじ,-1
633,すたれる,-1
634,ずうずうしい,-1
635,ずるい,-1
636,ずれる,-1
637,ずんべらぼう,-1
641,せこい,-1
642,せせこましい,-1
643,せっかち,-1
645,せわしい,-1
646,せわしない,-1
647,そぐわない,-1
648,そそっかしい,-1
649,そっけ,-1
650,そらぞらしい,-1
651,ぞっと,-1
652,ぞんざい,-1
654,たけだけしい,-1
655,たじたじ,-1
656,たどたどしい,-1
657,たより,-1
659,だぶつく,-1
660,だらし,-1
663,だるい,-1
664,ちぐはぐ,-1
666,ちっぽけ,-1
668,ちび,-1
670,ちまちま,-1
671,ちゃち,-1
676,ちゃらっぽこ,-1
680,ちんちくりん,-1
684,ちんまり,-1
685,つかむ,-1
686,つたない,-1
688,つまらない,-1
689,つまる,-1
690,つれない,-1
691,つんつるてん,-1
695,できる,-1
696,でくの坊,-1
700,でしゃばる,-1
701,とげ,-1
702,とげとげしい,-1
703,とっつく,-1
704,とぼける,-1
706,とりとめる,-1
707,とろい,-1
708,とんがる,-1
709,とんちんかん,-1
713,とんでも,-1
714,とんま,-1
718,ど,-1
724,どぎつい,-1
725,どけ,-1
727,どじ,-1
733,どす黒い,-1
734,どっち,-1
736,どん,-1
737,なおざり,-1
739,なごりおしい,-1
740,なじむ,-1
742,なまぬるい,-1
743,なよなよ,-1
744,なれなれしい,-1
745,にちゃにちゃ,-1
746,にぶい,-1
747,にべ,-1
749,ねたましい,-1
750,ねちねち,-1
751,のらりくらり,-1
756,のろい,-1
757,のろくさい,-1
758,のろのろ,-1
759,のろま,-1
763,はかばかしい,-1
764,はしたない,-1
765,はずれ,-1
769,はで,-1
775,ばか,-1
779,ばかくさい,-1
780,ばっちい,-1
781,ばらつき,-1
782,ひやひや,-1
783,ひょろひょろ,-1
784,ひ弱い,-1
785,びしょびしょ,-1
787,ふがいない,-1
789,ふつつか,-1
791,ふてぶてしい,-1
792,ふにゃふにゃ,-1
795,ふらふら,-1
796,ふんぞり返る,-1
797,ぶよぶよ,-1
802,へいこら,-1
803,へそ曲がり,-1
807,へたくそ,-1
809,へとへと,-1
811,へなへな,-1
812,べとつく,-1
813,べとべと,-1
814,ぺしゃんこ,-1
818,ぺてん師,-1
822,ほど遠い,-1
823,ぼさっと,-1
824,ぼやける,-1
825,ぼやぼや,-1
826,ぼろい,-1
827,ぼろぼろ,-1
829,ぼんくら,-1
833,ぼんやり,-1
834,まがい物,-1
840,まがまがしい,-1
841,まごまご,-1
842,まだるっこい,-1
843,ままならない,-1
845,みすぼらしい,-1
846,みっともない,-1
847,みにくい,-1
848,みみっちい,-1
849,むかむか,-1
850,むごい,-1
851,むごたらしい,-1
852,むさい,-1
853,むさくるしい,-1
854,むっと,-1
855,むなぐるしい,-1
856,むなしい,-1
857,めそめそ,-1
858,めちゃくちゃ,-1
860,めちゃめちゃ,-1
862,めんどう,-1
